"type","system","term_ja","term_en","aliases","description_ja","description_en","url","source"
"system","Google","ECCSストレージ管理システム","ECCS Storage Management System","","共有ドライブの代表者の確認や，保存容量の管理・拡張を行うシステムです．","A system for checking shared drive representatives and managing/expanding storage capacity.","/google/drive/storage/","src/pages/systems/storage_limit.md"
"system","Google","Google Classroom","Google Classroom","","Googleが提供する授業支援サービス．uteleconでは解説ページを準備中である．","A class-management service provided by Google. The explanatory page on utelecon is under preparation.","/google/classroom/","src/pages/google/classroom/index.mdx"
"system","ITC-LMS","ITC-LMS","ITC-LMS","Information Technology Center-Learning Management System","東京大学の旧学習管理システム．課題の掲示，テストの出題，出席送信フォームの提示，学生との連絡などができた．現在はUTOLに置き換えられている．","The University of Tokyo's former Learning Management System used for posting assignments, giving tests, displaying attendance forms, and contacting students; now replaced by UTOL.","/articles/itc-lms/","src/pages/articles/itc-lms/index.md"
"system","MATLAB","MATLAB","MATLAB","","MathWorks社が提供する，科学技術計算向けのプログラミング言語および数値計算・数式処理ソフトウェア．東京大学では全学で包括契約されており，学内構成員が個人端末等で利用できる．","A programming language and numerical/symbolic computing software by MathWorks. UTokyo has a campus-wide license letting members use it on personal devices.","/matlab/","src/pages/matlab/index.md"
"system","Microsoft","Microsoft 365","Microsoft 365","","UTokyo Microsoft Licenseで利用可能なMicrosoftのシステムの多くにアクセスできる統合ポータル．","The integrated portal from which many systems available under UTokyo Microsoft License can be accessed.","/microsoft/","src/pages/microsoft/index.md;src/pages/systems/leave/backup.mdx"
"system","Microsoft","Microsoft Azure","Microsoft Azure","Azure","Microsoft が提供するクラウドサービス基盤．仮想マシン，ストレージ，AI 等の多様なサービスを提供する．UTokyo Azure はこの Azure をギフトクレジットで利用する．","Microsoft's cloud service platform providing virtual machines, storage, AI, and other services; UTokyo Azure uses Azure via gift credits.","/research_computing/utokyo_azure/","src/pages/research_computing/utokyo_azure/index.mdx"
"system","Microsoft","Microsoft Excel","Microsoft Excel","Excel","Microsoftの表計算ソフト．データを選択して挿入タブからグラフを作成できる．","Microsoft's spreadsheet software; charts are created by selecting data and using the Insert tab.","/articles/paper-writing/","src/pages/articles/paper-writing/index.md"
"system","Microsoft","Microsoft Word","Microsoft Word","Word","Microsoftの文書作成ソフト．挿入タブの数式機能やインクを数式に変換で数式を記入できる．","Microsoft's word processor; equations can be entered via the Equation feature in the Insert tab and by converting ink to math.","/articles/paper-writing/","src/pages/articles/paper-writing/index.md"
"system","Microsoft","SharePoint","SharePoint","","Teamsでチームとチャネルを作成した際に，チャネル単位でフォルダ（Teamsチームフォルダ）が作成される先のストレージ基盤．","The storage platform where a folder (Teams folder) is created per channel when a team and channel are created in Teams.","/microsoft/teams_team_folder/","src/pages/microsoft/teams_team_folder.md"
"system","Microsoft","UTokyo Microsoft License","UTokyo Microsoft License","","MicrosoftのシステムをUTokyo Accountで利用できるようにするライセンス．Word・Excel・PowerPointなどのOfficeアプリやOneDriveなどが利用できる．","A license that lets UTokyo members use Microsoft systems (Office apps, OneDrive, etc.) with their UTokyo Account.","/microsoft/","src/pages/microsoft/index.md"
"system","OneNote","OneNote","OneNote","OneNote for Windows 10","Microsoftが提供する電子ノートアプリ．授業でのリアルタイムの板書や，読み込んだPDF・PowerPoint等への手書きの書き込みに使える．","Microsoft's digital notebook app; usable for real-time board writing in class and handwriting on imported PDFs, PowerPoint, etc.","/articles/onenote-whiteboard/","src/pages/articles/onenote-whiteboard/index.mdx"
"system","research_computing","mdx","mdx","データ活用社会創成プラットフォーム","クラウド上の高性能なサーバ計算機（仮想マシン）を専有利用できる学術研究基盤．高性能計算機と大容量ストレージを備え，高速ネットワークSINETと連携し，全国の大学・研究機関・民間企業に提供される．","An academic research computing platform providing dedicated high-performance virtual servers on the cloud, with large-scale storage and SINET high-speed network integration, offered to universities, research institutions, and companies nationwide.","/research_computing/mdx/","src/pages/research_computing/mdx/index.mdx"
"system","research_computing","mdx I","mdx I","mdx Ⅰ","mdxを構成する計算機システムのひとつで，東京大学柏Ⅱキャンパスに設置されている．本ページで説明対象としているシステム．","One of the machines composing mdx, located at the University of Tokyo Kashiwa II campus.","/research_computing/mdx/","src/pages/research_computing/mdx/index.mdx"
"system","research_computing","mdx II","mdx II","mdx Ⅱ","mdxを構成する計算機システムのひとつで，大阪大学吹田キャンパスに設置されている．","One of the machines composing mdx, located at Osaka University Suita campus.","/research_computing/mdx/","src/pages/research_computing/mdx/index.mdx"
"system","research_computing","SYNKA","SYNKA","","東京大学臨床医療システムAI研究推進機構が提供する大規模GPUシステムで，情報基盤センターが運用を担当している．NVIDIA H200 GPUを搭載した計算ノードを備える．","A large-scale GPU system provided by the University of Tokyo's clinical medical systems AI research organization and operated by the Information Technology Center, equipped with NVIDIA H200 GPU compute nodes.","/research_computing/synka/","src/pages/research_computing/synka/index.mdx"
"system","Slack","Slack","","","チャット型のコミュニケーションツール．GASを組み込んだ勤怠管理アプリの連携先の例として言及される．","","/articles/gas/","src/pages/articles/gas/index.md"
"system","Slack","UTokyo Slack","UTokyo Slack","","東京大学が全学でSlackの「Enterprise Grid」プランを契約し，大学構成員が利用できるようにしたビジネスチャット環境．2022年8月より運用されている．","The university-wide chat environment provided by UTokyo through a subscription to Slack's Enterprise Grid plan, available to all university members.","/slack/","src/pages/slack/index.mdx"
"system","UTAS","UTAS","UTAS","学務システム","東京大学の学務システム．学生はシラバス閲覧・履修登録・成績確認を，教員はシラバス登録・履修者名簿確認・成績登録を行う．利用にはUTokyo Accountが必要．","The University of Tokyo's academic affairs system. It manages course enrollment and course information; UTOL courses are created automatically based on UTAS data.","/utol/students/course_registration/","src/pages/utol/students/course_registration/index.md;src/pages/utol/lecturers/index.mdx;src/pages/utol/notification/index.mdx;src/components/ja/systems/utokyo_wifi/Apply.mdx;src/pages/online/tools.md;src/pages/systems/index.md;src/pages/utas.mdx"
"system","UTAS","職員名簿","Personnel Information System","","教職員のメールアドレスが登録されているシステム．UTOLの連携メールアドレスとして，教員の場合はここに登録されたアドレスが表示される．","The system where faculty/staff email addresses are registered; for faculty, the address registered here is shown as the linked e-mail address in UTOL.","/utol/notification/","src/pages/utol/notification/index.mdx"
"system","UTokyo Account","UTokyo Account","UTokyo Account","東京大学のアカウント;UTokyoアカウント;Common ID","東京大学の構成員に付与される共通アカウント．数字10桁の共通IDに`@utac.u-tokyo.ac.jp`を付けた形式で，Microsoftアカウントとしてサインインに用いる．","The university-wide account issued to UTokyo members; used to sign in to the UTokyo Wi-Fi Account Menu and for MFA, but distinct from the credentials entered when connecting to Wi-Fi.","/utokyo_account/","src/pages/zoom/signin/index.mdx;src/pages/zoom/misc/management_roles/index.md;src/pages/utol/students/messages/index.mdx;src/pages/utol/index.mdx;src/pages/google/index.mdx;src/pages/google/forms/index.md;src/pages/google/misc/automatic-forwarding.md;src/pages/webex/signin.md;src/pages/utokyo_account/index.mdx;src/pages/utokyo_wifi/index.mdx;src/pages/slack/index.mdx;src/pages/slido/login.mdx;src/pages/microsoft/signin.md;src/pages/systems/index.md;src/pages/articles/teams-display-name/index.mdx"
"system","UTokyo Account","UTokyo Account Service Directory","UTokyo Account Service Directory","","UTokyo Accountで利用できるシステムの一覧を掲載しているページです．","A directory listing the systems available with a UTokyo Account.","https://login.adm.u-tokyo.ac.jp/utokyoaccount/","src/pages/systems/index.md"
"system","UTokyo Account","UTokyo Account利用者情報確認サイト","UTokyo Account User Information","","UTokyo Accountの利用者情報を確認するサイト．通知用メールアドレスが空白の場合，ここに登録された連絡先メールアドレスにもUTokyo Wi-Fiの通知が届く．","The site for checking UTokyo Account user information; when the notification field is blank, the UTokyo Wi-Fi notification is also sent to the contact email registered here.","/utokyo_wifi/#apply","src/components/ja/systems/utokyo_wifi/Apply.mdx"
"system","UTokyo VPN","UTokyo VPN","UTokyo VPN","","東京大学全学の構成員（教職員および学生）が利用できるVPNサービス．学外の端末からUTokyo VPNに接続すると，情報基盤センターのVPNゲートウェイを経由し，端末が仮想的に東京大学キャンパスネットワーク（UTNET）に接続された状態になる．","A VPN service available to all UTokyo faculty, staff, and students. Connecting from off-campus routes the device through the VPN gateway so it virtually joins UTNET, the UTokyo campus network.","/utokyo_vpn/","src/pages/utokyo_vpn/index.md"
"system","UTokyo Wi-Fi","UTokyo Wi-Fi","UTokyo Wi-Fi","UTokyo WiFi;東京大学無線ネットワークシステム","東京大学の構成員が教育・研究などの大学の活動を目的として利用できる，キャンパス内のほとんどの建物で使えるWi-Fiサービス．UTokyo Accountを持つ構成員が利用できる．","A Wi-Fi service available to members of the University of Tokyo for education, research, and other university activities, accessible in most buildings on campus.","/utokyo_wifi/","src/pages/utokyo_wifi/index.mdx;src/pages/systems/wlan.mdx"
"system","UTokyo Wi-Fi","全学セキュリティファイアウォール","UTokyo Campuswide Firewall","","UTokyo Wi-Fiを含む本学ネットワークの情報セキュリティを確保する仕組み．セキュリティ上問題があると考えられる通信をブロックするため，閲覧できないウェブサイトが存在する．","The mechanism securing UTokyo's network including UTokyo Wi-Fi; it blocks communication deemed a security risk, so some websites cannot be viewed.","/utokyo_wifi/","src/pages/utokyo_wifi/index.mdx"
"system","UTOL","ITC-LMS","ITC-LMS","","東京大学でUTOL以前に使用されていた学習支援システム．UTOLとほぼ同じ機能を持っていた．","The learning management system used at UTokyo before UTOL, with almost the same functions as UTOL.","/utol/","src/pages/online/tools.md"
"system","UTOL","UTAS","UTAS","学務システム","東京大学の学務システムで，履修登録やシラバス，休講情報などを管理する．UTOL上のコースや履修者情報の多くはUTASから連携される．","The University of Tokyo's academic affairs system that manages course registration, syllabi, and class-cancellation information. Much of UTOL's course and enrollment data is linked from UTAS.","/utol/students/course_registration/","src/pages/utol/students/course_registration/index.md"
"system","UTOL","UTOL","UTOL","UTokyo LMS;ITC-LMS","東京大学の学習管理システム．科目（コース）ごとに教職員から学生へお知らせや教材を掲示でき，学生は課題提出やテスト受験ができる．利用にはUTokyo Accountが必要．","The learning management system of the University of Tokyo. Staff can post announcements and course materials per course, and students can submit assignments and take quizzes. A UTokyo Account is required.","/utol/","src/pages/en/zoom/usage/recording/index.mdx;src/pages/utol/students/index.mdx;src/pages/utol/lecturers/index.mdx;src/pages/utol/index.mdx;src/pages/google/meet/index.md;src/pages/google/forms/index.md;src/pages/online/tools.md;src/pages/systems/index.md;src/pages/articles/google-form/index.md;src/pages/articles/itc-lms/index.md"
"system","Webex","Webex","Webex","Cisco Webex","東京大学で提供されているWeb会議システムの一つ．UTokyo Accountでサインインすると，最大1000人・最大24時間のミーティングやウェビナーを開催できる．","One of the web conferencing systems provided by the University of Tokyo; signing in with a UTokyo Account allows meetings and webinars with up to 1,000 participants for up to 24 hours.","/webex/","src/pages/zoom/license.mdx;src/pages/webex/index.md;src/pages/slido/login.mdx;src/pages/systems/index.md"
"system","Zoom","Zoom","Zoom","UTokyo Zoom","オンライン会議・授業に用いるビデオ会議システム．Googleフォームの共有リンクをチャット欄に貼って配布する例で言及される．","A web conferencing system; under the UTokyo license you can host meetings with up to 300 participants and a maximum duration of 30 hours.","/zoom/","src/pages/zoom/usage/index.md;src/pages/slido/index.md;src/pages/systems/index.md;src/pages/articles/google-form/index.md"
"service","Cisco Secure Client","Cisco Secure Client","Cisco Secure Client","AnyConnect","UTokyo VPNに接続するために端末にインストールするVPNクライアントアプリケーション．起動してVPNゲートウェイに接続すると，UTokyo Accountの認証を経てVPN通信が行われる．以前はAnyConnectという名称だった．","The VPN client application installed on a device to connect to UTokyo VPN; it authenticates via UTokyo Account and establishes the VPN connection. Formerly named AnyConnect.","/utokyo_vpn/","src/pages/utokyo_vpn/index.md"
"service","CommentScreen","CommentScreen","CommentScreen","","ビデオ会議ツールの画面上にリアルタイムでコメントを流せるサービス．Zoomなどと併用して学生からコメントやスタンプ，質問を集められる．","A service that lets comments flow in real time across the screen of a video conferencing tool, used alongside Zoom to collect comments, stamps, and questions from students.","/articles/commentscreen/","src/pages/articles/commentscreen/index.md"
"service","Cosense","Cosense","Cosense","Scrapbox","Helpfeel株式会社が提供する，オンラインで多数のメモやノートを保存・整理するためのツール．複数人での同時編集やURLでの共有ができ，リンクやタグでページをつなげてポータルサイトのように使える．","A tool by Helpfeel Inc. for storing and organizing many notes online, with simultaneous multi-user editing, URL sharing, and page linking via links and tags.","/articles/cosense/","src/pages/articles/cosense/index.md"
"service","Discord","Discord","Discord","","オンラインでボイスチャットができるツール．複数人での同時通話やテキスト・画像・動画のやり取り，画面共有ができる．","A tool for online voice chat, allowing simultaneous multi-person calls, exchange of text/images/videos, and screen sharing.","/articles/online-interaction/","src/pages/articles/online-interaction/index.md"
"service","ECCS","Autodesk Fusion","Autodesk Fusion","","Windowsリモート環境で利用できるCADソフトウェア．自身で作成したAutodeskアカウントでサインインして利用する．","CAD software available in the Remote Windows Environment; sign in using your own Autodesk account.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","ChromeOSデバイス利用席","ChromeOS Device Stations","","ChromeOSデバイスとディスプレイなどが設置されている利用席．キャンパスの特定の場所で利用できる設備の一つ．","Seating areas equipped with ChromeOS devices, displays, etc., available at specific locations on campus.","/eccs/chromeos/","src/pages/eccs/index.mdx"
"service","ECCS","ECCS Tutor's page","ECCS Tutor's page","","ECCS相談員・巡回連絡員が運営していたウェブサイト．当座引き続き利用できる．","A website previously operated by the ECCS tutors/inspectors, which remains available for the time being.","https://www.sodan.ecc.u-tokyo.ac.jp/","src/pages/eccs/tutors.md"
"service","ECCS","ECCSクラウドメール","ECCS Cloud Email","Google Workspace;東大のGoogleアカウント","ECCSが提供するクラウドメールサービス．自分で設定したメールアドレス（`xxxx@g.ecc.u-tokyo.ac.jp`など）のアカウントでは，通常のZoomサインイン手順が使えない場合がある．","The Google Workspace account contracted by the University of Tokyo, used to access Google services such as Google Forms and to restrict respondents to UTokyo members.","/zoom/signin/","src/pages/zoom/signin/index.mdx;src/pages/google/group/index.mdx;src/pages/google/drive/index.mdx;src/pages/utokyo_account/index.mdx;src/pages/research_computing/utokyo_azure/index.mdx;src/pages/microsoft/adt4t/index.md;src/pages/articles/google-form/index.md;src/pages/articles/goodnotes-writing/index.mdx;src/pages/matlab/index.md"
"service","ECCS","EndNote online","EndNote online","","大学がライセンスを提供する文献管理ソフト．Windowsリモート環境で利用できる．","Reference-management software for which the university provides a license, available in the Remote Windows Environment.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","JMP Pro","JMP Pro","","Windowsリモート環境で利用できる統計解析ソフトウェア．自身で作成したMy JMPアカウントでサインインして利用する．","Statistical analysis software available in the Remote Windows Environment; sign in using your own My JMP account.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","MATLAB","MATLAB","","Windowsリモート環境で利用できる数値計算ソフト．UTokyo MATLAB Licenseにより追加費用なく利用できる．","Numerical computing software available in the Remote Windows Environment, usable at no additional cost under the UTokyo MATLAB License.","/matlab/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","Microsoft 365 Apps","Microsoft 365 Apps","Microsoft Office","Windowsリモート環境で利用できるWordやPowerPointなどのアプリ群．サインイン時のUTokyo Accountに基づき自動的にライセンス認証される．","Applications such as Word and PowerPoint available in the Remote Windows Environment, automatically activated based on the UTokyo Account used to sign in.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","Stata/SE","Stata/SE","","大学がライセンスを提供する統計ソフト．Windowsリモート環境で無償利用できる．","Statistical software for which the university provides a license, usable free of charge in the Remote Windows Environment.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","TNTlite","TNTlite","","Windowsリモート環境にインストールされている地理情報システム(GIS)ソフトウェアの無料版．","A free version of geographic information system (GIS) software installed in the Remote Windows Environment.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","uteleconサポート窓口","utelecon Support Staff","Technical Support Desk;ECCS相談員;巡回連絡員","チャット・オンライン通話・メールフォーム・対面の4種類の方法で問い合わせを受け付けるサポート窓口．従来の相談員・巡回連絡員の業務も組み込まれている．","A support desk that accepts inquiries by chat, online call, email form, and in person; it has integrated the roles previously handled by ECCS tutors/inspectors.","/support/","src/pages/eccs/support/index.mdx"
"service","ECCS","Windows 365 Frontline","Windows 365 Frontline","","Windowsリモート環境の実体となっているクラウド上のWindows仮想デスクトップサービス．","The cloud-based Windows virtual desktop service underlying the Remote Windows Environment.","/eccs/vdi-windows/","src/pages/eccs/index.mdx"
"service","ECCS","Windows App","Windows App","","Windowsリモート環境に接続するためのMicrosoftの専用アプリケーション．フリー枠は「ECCS-FREEn」という名前で表示される．","A dedicated Microsoft application for connecting to the Remote Windows Environment; free slots are displayed as ""ECCS-FREEn"".","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"service","ECCS","Windowsリモート環境","Remote Windows Environment","VDI;Windows 365 Frontline","クラウド上に展開されたWindowsの仮想デスクトップ環境で，学内外のデバイスからインターネットを通じてアクセスできるソフトウェアのみの設備．","A cloud-based Windows virtual desktop environment (VDI, Windows 365 Frontline) accessible over the internet from devices on and off campus.","/eccs/vdi-windows/","src/pages/eccs/index.mdx"
"service","ECCS","はいぱーワークブック","","","利用者自身で調べるための情報源の一つとして案内されている学習用ウェブ教材．","","https://hwb.ecc.u-tokyo.ac.jp/hwb2023/","src/pages/eccs/support/index.mdx"
"service","ECCS","メールホスティングサービス","Email Hosting Service","","情報基盤センターが提供する，部局・研究室等が独自ドメインでメールを運用できるサービス．独自ドメインのGoogleグループ作成にも関係する．","A service by the Information Technology Center that lets departments and laboratories operate email under their own domain, also relevant to creating Google Groups with a custom domain.","https://mh.ecc.u-tokyo.ac.jp/","src/pages/google/group/index.mdx;src/pages/systems/leave/salvage.mdx"
"service","ECCS","持込デバイス利用席","BYOD Stations","","利用者が持ち込んだノートPCなどを外付けのディスプレイやキーボードにUSB Type-Cを介して接続して利用する利用席．","Seating areas where users connect their own laptops and other devices to external displays, keyboards, etc. via USB Type-C cables.","/eccs/byod/","src/pages/eccs/index.mdx"
"service","ECCS","情報基盤センター教育用計算機システム担当の窓口","","教育用計算機システム担当","情報基盤センターが本郷・駒場地区に設ける対面窓口と電話による問い合わせ窓口．平日9:00〜12:00と13:00〜17:00に対応する．","","/eccs/support/","src/pages/eccs/support/index.mdx"
"service","ECCS","利用の手引き","","","利用者自身で不明点を調べるために提供されているECCSの案内資料．","","/eccs/userguide/","src/pages/eccs/support/index.mdx"
"service","eduroam","eduroam","eduroam","","大学や研究機関等での相互利用が可能な無線LANサービス．UTokyo Wi-FiアカウントのユーザーID・パスワードで接続できる．","A wireless LAN service enabling mutual use across universities and research institutions; connectable with the UTokyo Wi-Fi account user ID and password.","/systems/wlan/#eduroam","src/pages/utokyo_wifi/index.mdx"
"service","eduroam","geteduroam","geteduroam","設定支援ツール","Android端末でUTokyo Wi-Fiの接続設定を半自動化する設定支援ツール（アプリ）．東京大学が公開する専用の設定ファイルを適用して利用する．","A configuration-helper app that semi-automates UTokyo Wi-Fi setup on Android devices, using a dedicated profile published by the University of Tokyo.","/utokyo_wifi/android-cat/","src/pages/utokyo_wifi/android-cat/index.mdx"
"service","Gather","Gather","Gather","","レトロゲーム風UIが特徴のオンラインコミュニケーションツール．アバターを操作して仮想オフィスを行き来できるバーチャルオフィスサービス．","An online communication tool with a retro-game-style UI; a virtual office service where you move an avatar around a virtual office.","/articles/online-interaction/","src/pages/articles/online-interaction/index.md"
"service","general","Apex One","Apex One","","ウイルス対策ソフトウェア包括ライセンスで提供されるTrendMicro社の製品（Windows・Windows Server，macOS向け）．","A TrendMicro product for Windows/Windows Server and macOS provided under the UTokyo Antivirus License.","/antivirus/","src/pages/antivirus/index.md"
"service","general","Box","Box","","予算がある場合の代替クラウドストレージサービスとして挙げられている．","An alternative cloud storage service suggested when budget is available.","/google/drive/storage/","src/pages/google/drive/storage/index.md"
"service","general","ChatGPT","ChatGPT","","代表的な生成AIチャットサービスの1つ．2026年3月時点で東京大学における全学での契約はない．","A representative generative AI chat service; as of March 2026 there is no university-wide contract for it at UTokyo.","/online/topics/generative-ai/","src/pages/online/topics/generative-ai.md"
"service","general","cluster","","","無料で使えるツールで，VR会議を簡単に開くことができる．学生有志主催のVR卒業式でも使われた．","","/online/shared/","src/pages/online/shared/index.md"
"service","general","CommentScreen","CommentScreen","","オンライン授業の画面上に，学生の質問やコメントを匿名・リアルタイムで直接表示できるツール．","A tool that displays student questions and comments anonymously and in real time directly on the online class screen.","/articles/commentscreen/","src/pages/online/tools.md"
